Device,TrafficSource,PastVisits,TotalPagesViewed,TimePerPage_sec,VisitDuration_min,CartOpened,PurchaseMade,Revenue
Mobile,Search,5,10,42.18,13.54,0,0,0.0
Mobile,Search,1,14,16.7,2.7,0,0,0.0
Mobile,Referral,3,26,22.67,13.27,0,0,0.0
Mobile,Email,2,22,13.09,8.67,0,0,0.0
Mobile,Search,3,12,51.67,13.04,1,1,68.31
Mobile,Search,2,27,53.19,7.22,0,0,0.0
Desktop,Advertisement,5,1,19.22,13.93,0,0,0.0
Mobile,Referral,4,29,49.77,3.33,0,0,0.0
Mobile,Email,5,21,22.78,8.41,0,0,0.0
Mobile,Search,2,20,7.74,2.06,0,0,0.0
Mobile,Email,3,20,45.97,6.82,0,0,0.0
Mobile,Email,2,7,36.59,8.63,0,0,0.0
Mobile,Referral,1,9,17.91,9.16,0,0,0.0
Mobile,Search,3,8,16.67,5.61,1,0,0.0
Desktop,Search,1,27,58.59,1.33,0,0,0.0
Mobile,Social Media,7,13,52.03,9.9,0,0,0.0
Mobile,Search,6,14,48.97,7.43,0,0,0.0
Mobile,Search,3,12,9.43,2.23,0,0,0.0
Mobile,Referral,4,8,45.8,14.05,0,0,0.0
Mobile,Email,1,21,14.44,14.34,0,0,0.0
Mobile,Shopping Site,1,22,58.69,12.88,0,0,0.0
Mobile,Search,2,18,5.02,12.69,0,0,0.0
Mobile,Email,3,16,22.42,1.66,0,0,0.0
Mobile,Search,3,29,26.86,14.9,0,0,0.0
Mobile,Search,1,11,49.8,6.13,0,0,0.0
Mobile,Social Media,4,16,46.44,2.61,0,0,0.0
Mobile,Search,1,14,23.75,12.22,0,0,0.0
Mobile,Email,3,3,34.8,3.54,0,0,0.0
Mobile,Referral,3,21,50.46,7.99,0,1,43.88
Mobile,Search,1,2,3.06,2.09,0,0,0.0
Desktop,Search,2,3,48.53,7.22,0,0,0.0
Mobile,Internal,4,4,56.92,8.46,0,0,0.0
Mobile,Search,2,22,3.86,6.8,0,1,118.25
Mobile,Search,0,5,4.64,1.23,0,0,0.0
Mobile,Shopping Site,4,10,21.98,7.38,0,0,0.0
Mobile,Search,0,20,7.09,7.14,0,0,0.0
Mobile,Referral,2,29,29.8,4.07,0,0,0.0
Mobile,Referral,5,2,44.27,13.84,0,0,0.0
Desktop,Referral,1,12,34.88,6.38,0,0,0.0
Desktop,Search,5,27,13.39,12.99,0,0,0.0
Mobile,Search,4,5,39.98,1.82,0,0,0.0
Desktop,Referral,4,5,41.72,4.92,0,0,0.0
Desktop,Social Media,3,27,56.08,2.81,0,0,0.0
Mobile,Search,6,23,10.51,6.24,0,0,0.0
Desktop,Referral,2,1,42.16,1.85,0,0,0.0
Mobile,Search,4,4,54.86,6.73,1,0,0.0
Desktop,Search,2,27,31.09,5.44,0,0,0.0
Desktop,Email,5,21,22.98,3.51,0,0,0.0
Mobile,Search,3,24,11.9,9.7,0,0,0.0
Mobile,Social Media,3,12,52.27,14.27,0,0,0.0
Mobile,Search,3,12,24.87,3.27,0,0,0.0
Mobile,Search,1,16,55.64,10.73,0,0,0.0
Desktop,Search,3,24,51.17,11.19,1,0,0.0
Desktop,Referral,6,17,23.85,7.57,0,0,0.0
Mobile,Search,3,21,35.29,13.49,0,0,0.0
Mobile,Social Media,1,10,3.58,14.5,0,0,0.0
Mobile,Referral,3,17,17.27,5.56,0,0,0.0
Mobile,Advertisement,3,17,43.2,9.84,1,0,0.0
Mobile,Email,2,18,41.32,10.0,0,0,0.0
Mobile,Email,3,2,22.5,6.17,0,0,0.0
Desktop,Search,0,25,48.9,4.89,0,0,0.0
Mobile,Search,8,4,15.68,14.02,0,0,0.0
Mobile,Referral,1,19,28.75,11.89,0,0,0.0
Mobile,Search,1,11,29.41,1.89,1,0,0.0
Mobile,Referral,3,17,21.77,1.97,0,0,0.0
Desktop,Search,2,12,57.37,13.85,0,0,0.0
Desktop,Search,2,2,42.41,1.4,1,0,0.0
Mobile,Email,3,6,33.27,10.39,0,1,92.51
Mobile,Search,4,9,31.61,3.56,0,0,0.0
Mobile,Internal,3,5,11.24,0.72,0,0,0.0
Mobile,Email,7,20,23.59,1.08,0,0,0.0
Mobile,Search,3,29,41.02,5.73,0,0,0.0
Mobile,Email,3,21,55.63,1.35,1,0,0.0
Mobile,Social Media,3,9,49.35,9.03,0,0,0.0
Mobile,Email,5,28,19.42,9.78,0,0,0.0
Mobile,Search,5,29,27.17,5.73,0,0,0.0
Desktop,Internal,4,23,6.81,11.19,0,0,0.0
Mobile,Referral,4,8,7.93,7.45,0,0,0.0
Mobile,Search,2,20,29.27,6.57,0,0,0.0
Mobile,Search,6,27,32.75,6.22,0,0,0.0
Desktop,Referral,3,8,17.31,6.58,0,0,0.0
Mobile,Referral,2,22,39.28,14.52,0,0,0.0
Mobile,Referral,6,21,42.8,10.28,0,0,0.0
Mobile,Internal,4,29,19.35,4.87,0,0,0.0
Mobile,Email,3,28,45.99,11.06,0,0,0.0
Mobile,Search,3,23,13.93,5.09,1,0,0.0
Mobile,Search,6,6,33.57,2.06,0,0,0.0
Mobile,Search,4,3,48.65,7.24,0,0,0.0
Mobile,Social Media,2,5,33.15,11.32,0,0,0.0
Mobile,Search,1,9,54.66,5.79,0,0,0.0
Mobile,Email,3,7,5.39,13.06,0,0,0.0
Desktop,Search,4,28,36.12,5.93,0,0,0.0
Mobile,Search,5,4,34.58,5.38,0,0,0.0
Mobile,Referral,6,7,40.3,14.97,0,0,0.0
Mobile,Search,2,5,50.34,7.34,1,0,0.0
Mobile,Internal,4,11,44.1,12.12,0,0,0.0
Mobile,Search,4,29,47.84,12.11,0,0,0.0
Mobile,Referral,0,15,18.75,13.91,0,0,0.0
Mobile,Referral,4,2,24.47,1.46,0,0,0.0
Mobile,Search,5,13,38.35,4.21,0,0,0.0
Mobile,Referral,2,22,34.1,11.56,0,0,0.0
Mobile,Search,5,16,57.74,8.53,0,0,0.0
Mobile,Shopping Site,4,7,12.84,8.48,0,0,0.0
Mobile,Search,5,8,22.37,2.66,0,0,0.0
Desktop,Search,2,6,35.22,4.36,0,0,0.0
Mobile,Email,2,24,52.34,7.92,0,0,0.0
Mobile,Internal,0,7,55.9,4.3,0,0,0.0
Mobile,Referral,4,18,21.49,3.31,1,0,0.0
Desktop,Advertisement,1,22,5.89,1.5,0,0,0.0
Desktop,Internal,2,25,26.45,2.5,0,0,0.0
Mobile,Search,3,28,24.87,11.58,0,0,0.0
Mobile,Search,2,22,59.22,10.84,0,0,0.0
Desktop,Search,2,20,27.0,0.88,0,0,0.0
Mobile,Search,1,7,19.73,3.21,0,0,0.0
Mobile,Search,3,3,23.19,8.49,0,0,0.0
Mobile,Search,4,5,25.02,4.97,0,0,0.0
Mobile,Shopping Site,6,1,49.65,12.38,0,0,0.0
Desktop,Search,3,15,6.7,11.82,0,0,0.0
Desktop,Search,2,26,20.36,13.4,0,0,0.0
Mobile,Email,3,3,58.05,8.53,0,0,0.0
Mobile,Referral,1,8,10.88,5.41,0,0,0.0
Mobile,Social Media,2,25,45.07,9.17,1,0,0.0
Mobile,Email,1,9,22.67,1.52,1,0,0.0
Desktop,Search,3,15,35.74,0.34,0,0,0.0
Desktop,Email,4,10,7.77,0.45,0,0,0.0
Mobile,Social Media,2,2,19.77,6.23,0,0,0.0
Mobile,Search,2,20,31.05,3.58,0,0,0.0
Mobile,Referral,3,5,15.44,2.53,1,0,0.0
Mobile,Social Media,2,19,33.43,9.31,0,0,0.0
Desktop,Advertisement,2,13,14.75,14.93,0,0,0.0
Mobile,Search,3,11,39.71,2.83,1,0,0.0
Mobile,Search,1,1,54.45,8.29,0,0,0.0
Mobile,Shopping Site,6,22,6.96,1.97,0,0,0.0
Mobile,Search,2,15,14.56,14.03,0,0,0.0
Mobile,Shopping Site,2,26,50.98,4.52,0,0,0.0
Mobile,Search,2,18,38.63,13.2,0,0,0.0
Mobile,Search,4,16,6.57,4.39,0,0,0.0
Mobile,Search,1,9,30.21,12.13,0,0,0.0
Mobile,Advertisement,2,1,14.17,3.3,0,0,0.0
Mobile,Search,4,11,13.55,4.53,1,0,0.0
Mobile,Search,3,9,56.56,3.05,0,0,0.0
Mobile,Internal,3,23,46.17,4.11,0,0,0.0
Mobile,Search,3,11,42.38,12.56,0,0,0.0
Mobile,Shopping Site,6,13,15.86,9.66,0,0,0.0
Mobile,Search,3,26,8.88,6.21,0,0,0.0
Desktop,Referral,3,2,52.51,14.58,0,0,0.0
Mobile,Search,1,14,2.34,7.08,0,0,0.0
Mobile,Email,2,6,24.51,14.55,0,0,0.0
Mobile,Referral,4,8,18.1,3.11,0,0,0.0
Mobile,Referral,3,18,35.08,13.59,1,0,0.0
Mobile,Advertisement,3,16,16.53,0.4,0,0,0.0
Mobile,Email,2,21,20.05,8.27,1,0,0.0
Desktop,Internal,3,29,51.3,6.46,0,0,0.0
Mobile,Email,1,12,36.98,7.97,0,0,0.0
Desktop,Shopping Site,2,11,10.45,8.39,1,0,0.0
Mobile,Shopping Site,2,6,44.14,5.96,0,0,0.0
Mobile,Search,3,3,14.03,14.97,0,0,0.0
Mobile,Advertisement,5,14,27.11,14.65,0,1,168.49
Mobile,Search,3,28,39.5,14.43,0,0,0.0
Mobile,Search,6,2,17.77,14.69,0,0,0.0
Mobile,Search,2,11,24.28,11.94,0,0,0.0
Mobile,Email,5,22,44.58,14.83,0,0,0.0
Mobile,Search,6,3,56.4,13.41,0,0,0.0
Mobile,Referral,6,18,32.7,6.36,0,0,0.0
Mobile,Referral,3,1,2.58,11.81,0,0,0.0
Mobile,Referral,4,24,21.63,13.7,0,0,0.0
Desktop,Search,3,1,25.12,10.75,0,0,0.0
Desktop,Advertisement,2,12,21.67,6.46,0,0,0.0
Desktop,Email,5,15,27.3,1.17,0,0,0.0
Mobile,Search,4,5,38.69,12.18,0,0,0.0
Mobile,Search,2,27,9.03,14.3,0,0,0.0
Desktop,Email,0,6,17.81,5.56,1,0,0.0
Mobile,Referral,0,16,31.44,2.45,0,0,0.0
Desktop,Search,5,27,20.3,5.03,0,0,0.0
Desktop,Email,6,12,59.48,8.82,0,0,0.0
Desktop,Referral,1,12,27.02,4.89,0,0,0.0
Mobile,Referral,2,3,52.45,9.24,0,0,0.0
Mobile,Search,5,23,54.0,14.51,0,0,0.0
Desktop,Search,4,2,50.49,10.13,0,0,0.0
Mobile,Search,3,7,4.72,5.57,0,0,0.0
Mobile,Search,2,2,56.97,14.05,0,0,0.0
Mobile,Email,0,21,9.47,8.57,0,0,0.0
Desktop,Email,4,7,4.0,2.1,0,0,0.0
Mobile,Social Media,5,11,26.03,7.58,0,0,0.0
Mobile,Internal,2,11,13.29,9.87,0,0,0.0
Mobile,Social Media,3,14,12.68,12.61,0,0,0.0
Mobile,Search,7,3,18.69,14.06,0,0,0.0
Desktop,Search,5,14,16.41,4.9,0,0,0.0
Mobile,Search,3,11,41.72,2.5,0,0,0.0
Mobile,Social Media,1,4,12.83,1.29,0,0,0.0
Desktop,Search,3,17,33.5,11.13,0,0,0.0
Mobile,Search,4,16,59.21,11.97,1,0,0.0
Mobile,Email,1,3,27.08,6.26,0,0,0.0
Mobile,Search,3,25,39.23,6.06,0,1,178.99
Mobile,Referral,3,10,58.22,14.32,0,0,0.0
Mobile,Email,4,21,9.98,13.77,0,0,0.0
Desktop,Referral,1,15,26.28,3.65,0,0,0.0
Desktop,Social Media,2,8,51.31,11.76,0,0,0.0
Desktop,Email,3,18,56.07,9.42,0,0,0.0
Desktop,Search,2,3,36.87,2.48,0,0,0.0
Mobile,Search,1,7,10.32,5.48,1,0,0.0
Mobile,Search,1,10,54.29,2.83,0,0,0.0
Mobile,Search,3,20,12.12,4.57,0,0,0.0
Mobile,Email,0,9,22.47,9.31,0,0,0.0
Mobile,Search,3,14,23.78,5.75,0,0,0.0
Mobile,Referral,1,23,27.94,6.03,0,0,0.0
Desktop,Shopping Site,1,14,47.83,8.19,0,0,0.0
Mobile,Social Media,7,11,48.52,1.49,0,0,0.0
Mobile,Email,3,28,43.74,11.13,0,0,0.0
Mobile,Advertisement,2,1,3.28,6.15,0,0,0.0
Mobile,Referral,4,4,34.76,7.31,0,0,0.0
Mobile,Shopping Site,4,26,45.35,14.62,1,0,0.0
Mobile,Search,0,27,27.79,5.3,0,0,0.0
Mobile,Internal,3,6,56.81,9.79,0,1,45.13
Mobile,Email,3,22,49.78,6.01,0,0,0.0
Mobile,Referral,7,26,39.01,13.44,0,0,0.0
Mobile,Search,3,22,5.62,12.73,0,0,0.0
Mobile,Shopping Site,2,5,39.84,3.78,0,0,0.0
Desktop,Referral,4,3,54.87,10.44,0,0,0.0
Mobile,Email,2,2,24.01,1.16,0,0,0.0
Mobile,Advertisement,2,3,50.61,14.46,0,0,0.0
Mobile,Advertisement,3,9,20.16,5.37,0,0,0.0
Mobile,Referral,0,19,35.07,12.51,0,0,0.0
Mobile,Advertisement,0,19,39.61,4.91,0,0,0.0
Mobile,Referral,3,17,41.32,9.57,0,0,0.0
Mobile,Internal,4,18,53.19,14.76,0,0,0.0
Mobile,Search,6,11,15.61,13.18,0,0,0.0
Mobile,Email,4,12,17.22,2.57,0,0,0.0
Mobile,Email,2,3,42.83,8.3,0,0,0.0
Mobile,Shopping Site,2,18,12.28,5.36,0,0,0.0
Mobile,Search,8,24,28.93,6.63,0,0,0.0
Desktop,Social Media,4,6,3.16,5.16,1,0,0.0
Mobile,Referral,3,7,10.18,5.17,0,0,0.0
Mobile,Search,1,1,41.37,8.23,0,0,0.0
Mobile,Referral,2,6,45.35,3.04,1,0,0.0
Mobile,Internal,1,18,8.69,8.15,0,1,59.48
Mobile,Email,3,13,15.21,4.33,0,0,0.0
Mobile,Search,4,22,7.74,4.48,0,0,0.0
Mobile,Email,0,19,27.14,11.13,0,0,0.0
Desktop,Search,2,7,9.31,0.64,0,0,0.0
Desktop,Search,5,19,27.36,5.84,0,0,0.0
Mobile,Referral,5,9,44.46,6.23,0,0,0.0
Mobile,Shopping Site,3,3,41.64,7.38,0,0,0.0
Mobile,Social Media,1,23,18.27,10.1,0,0,0.0
Mobile,Social Media,3,12,41.08,5.67,0,0,0.0
Mobile,Social Media,2,20,55.81,3.35,0,0,0.0
Mobile,Search,5,24,22.16,13.3,0,0,0.0
Mobile,Search,1,18,21.09,14.72,1,0,0.0
Mobile,Search,3,8,35.14,0.5,1,0,0.0
Mobile,Internal,3,9,16.24,8.29,0,0,0.0
Desktop,Search,4,13,39.79,5.26,0,0,0.0
Mobile,Search,2,8,50.27,4.3,0,0,0.0
Mobile,Search,2,22,28.64,5.17,0,0,0.0
Mobile,Advertisement,1,10,41.41,9.66,0,0,0.0
Mobile,Search,0,17,39.81,3.02,0,0,0.0
Mobile,Referral,2,7,4.24,13.71,0,0,0.0
Mobile,Shopping Site,2,17,12.64,7.1,0,0,0.0
Mobile,Referral,1,23,53.82,5.02,0,0,0.0
Mobile,Search,5,18,56.46,11.53,0,0,0.0
Mobile,Search,7,24,47.27,0.44,0,0,0.0
Mobile,Referral,2,2,55.43,6.59,0,0,0.0
Mobile,Social Media,2,3,19.76,5.46,0,0,0.0
Desktop,Email,2,29,16.37,5.21,0,0,0.0
Mobile,Social Media,1,28,24.29,5.19,0,0,0.0
Mobile,Referral,2,19,5.21,0.66,0,0,0.0
Mobile,Social Media,2,1,48.97,2.45,0,0,0.0
Mobile,Search,5,21,59.08,2.3,0,0,0.0
Mobile,Referral,0,21,49.79,14.83,0,0,0.0
Mobile,Referral,3,10,34.19,0.53,0,0,0.0
Mobile,Social Media,2,21,19.13,2.67,0,0,0.0
Mobile,Search,5,14,13.47,14.62,0,0,0.0
Mobile,Search,3,13,23.12,9.5,0,0,0.0
Mobile,Search,5,9,40.68,6.87,0,0,0.0
Mobile,Social Media,6,6,27.93,1.37,0,0,0.0
Mobile,Email,3,6,56.18,10.11,0,0,0.0
Mobile,Advertisement,5,19,51.54,2.24,0,0,0.0
Mobile,Search,2,21,7.94,10.13,0,0,0.0
Desktop,Search,0,10,9.63,14.69,0,0,0.0
Mobile,Search,6,23,41.22,8.07,1,0,0.0
Mobile,Search,5,3,15.38,3.37,0,0,0.0
Mobile,Search,3,18,47.88,9.45,0,0,0.0
Mobile,Referral,6,21,36.3,7.79,0,0,0.0
Mobile,Search,3,19,15.33,8.09,0,0,0.0
Mobile,Referral,1,5,29.76,7.28,0,0,0.0
Desktop,Email,0,25,25.55,10.17,0,0,0.0
Mobile,Referral,2,11,52.64,8.66,0,0,0.0
Mobile,Advertisement,2,10,3.87,14.81,0,0,0.0
Mobile,Social Media,4,17,53.96,12.42,0,0,0.0
Mobile,Shopping Site,5,4,39.82,4.12,0,0,0.0
Mobile,Email,1,26,44.78,10.94,0,0,0.0
Desktop,Email,4,21,2.15,3.37,0,0,0.0
Mobile,Advertisement,3,18,38.44,11.78,0,0,0.0
Desktop,Referral,2,28,36.13,2.38,0,0,0.0
Desktop,Email,3,18,33.16,7.21,0,0,0.0
Mobile,Internal,2,1,47.58,11.9,0,0,0.0
Mobile,Search,3,14,34.24,4.35,0,0,0.0
Mobile,Search,5,8,51.71,12.59,0,0,0.0
Mobile,Search,2,2,15.49,9.73,0,0,0.0
Mobile,Search,5,19,48.75,6.08,0,0,0.0
Mobile,Social Media,1,15,12.4,6.47,0,0,0.0
Mobile,Search,0,28,49.16,13.9,0,0,0.0
Mobile,Shopping Site,4,2,56.55,3.42,0,0,0.0
Desktop,Internal,6,4,21.47,10.46,0,0,0.0
Mobile,Search,4,1,32.73,10.67,0,0,0.0
Desktop,Social Media,3,19,40.18,13.85,0,0,0.0
Mobile,Search,5,21,6.61,10.75,0,0,0.0
Mobile,Search,2,10,30.66,8.85,0,0,0.0
Mobile,Search,2,1,22.91,13.56,0,0,0.0
Mobile,Search,2,20,52.6,12.47,0,0,0.0
Desktop,Social Media,4,22,52.85,10.81,0,0,0.0
Mobile,Internal,3,15,42.65,0.68,0,0,0.0
Desktop,Email,5,4,40.03,5.73,0,0,0.0
Mobile,Social Media,2,7,44.55,9.55,0,0,0.0
Mobile,Search,2,7,23.23,7.93,0,0,0.0
Mobile,Search,3,22,25.46,4.93,0,0,0.0
Desktop,Search,3,25,34.11,2.34,0,0,0.0
Desktop,Social Media,4,18,56.41,8.38,0,0,0.0
Mobile,Referral,1,13,43.99,4.43,0,0,0.0
Mobile,Social Media,0,10,33.96,3.65,0,0,0.0
Mobile,Referral,1,24,46.68,6.1,0,0,0.0
Mobile,Search,4,8,23.51,11.83,0,0,0.0
Desktop,Internal,3,27,44.37,7.42,0,0,0.0
Desktop,Referral,4,10,25.82,3.4,0,0,0.0
Mobile,Advertisement,1,14,18.22,1.93,1,0,0.0
Mobile,Search,5,14,37.36,7.59,0,0,0.0
Mobile,Search,3,27,41.84,11.96,0,0,0.0
Mobile,Internal,4,20,28.64,9.86,0,0,0.0
Desktop,Referral,4,22,34.8,3.64,0,0,0.0
Mobile,Social Media,4,11,42.26,6.66,0,0,0.0
Desktop,Internal,1,6,46.53,12.86,0,0,0.0
Mobile,Search,4,21,53.94,2.83,1,0,0.0
Desktop,Search,3,1,22.56,8.07,0,0,0.0
Mobile,Social Media,2,19,57.19,5.47,0,0,0.0
Mobile,Referral,5,7,38.96,2.04,0,0,0.0
Desktop,Search,4,24,47.69,0.94,0,0,0.0
Mobile,Email,3,18,42.59,8.43,0,0,0.0
Mobile,Search,4,3,13.92,0.51,0,0,0.0
Desktop,Referral,4,20,6.14,1.73,0,0,0.0
Desktop,Email,3,11,44.12,5.34,0,0,0.0
Mobile,Advertisement,1,5,31.64,0.84,0,0,0.0
Mobile,Email,2,19,42.73,6.13,1,0,0.0
Mobile,Search,0,21,29.66,2.13,0,0,0.0
Mobile,Social Media,4,24,20.11,5.38,0,0,0.0
Mobile,Advertisement,1,24,18.53,11.91,0,0,0.0
Mobile,Advertisement,5,2,44.37,9.47,0,0,0.0
Mobile,Social Media,1,22,18.05,6.79,1,0,0.0
Mobile,Referral,4,4,43.45,1.56,0,0,0.0
Mobile,Advertisement,1,25,24.27,9.36,0,0,0.0
Mobile,Search,6,10,46.71,2.62,0,0,0.0
Mobile,Email,4,2,10.28,1.33,0,0,0.0
Mobile,Shopping Site,1,8,13.89,10.03,0,0,0.0
Mobile,Search,3,1,41.78,13.7,0,0,0.0
Mobile,Referral,3,27,34.49,7.02,0,0,0.0
Desktop,Search,4,6,13.82,0.81,0,1,161.8
Mobile,Internal,2,11,54.36,13.23,0,0,0.0
Mobile,Search,4,27,18.0,1.19,1,0,0.0
Mobile,Search,3,28,26.42,13.04,1,0,0.0
Mobile,Search,3,10,13.73,6.0,0,0,0.0
Mobile,Search,2,13,24.51,5.61,0,0,0.0
Mobile,Shopping Site,4,1,30.52,8.23,0,0,0.0
Mobile,Search,3,2,19.12,14.36,0,0,0.0
Mobile,Social Media,1,3,46.61,13.5,1,0,0.0
Mobile,Social Media,1,9,24.85,7.16,0,0,0.0
Desktop,Internal,2,5,44.31,10.5,0,0,0.0
Mobile,Email,2,10,14.01,8.79,0,0,0.0
Mobile,Referral,1,10,23.87,10.46,0,0,0.0
Mobile,Email,6,12,2.47,12.47,0,0,0.0
Desktop,Email,2,18,46.0,0.71,0,0,0.0
Mobile,Search,5,26,38.3,5.02,0,0,0.0
Mobile,Search,7,21,49.43,14.4,0,0,0.0
Desktop,Social Media,5,21,28.43,14.25,0,0,0.0
Desktop,Internal,4,1,48.38,0.37,0,0,0.0
Desktop,Shopping Site,3,3,39.56,3.18,0,0,0.0
Mobile,Referral,4,5,2.21,14.91,0,0,0.0
Mobile,Referral,1,25,16.71,7.49,0,0,0.0
Mobile,Internal,2,26,30.65,8.68,0,0,0.0
Mobile,Shopping Site,4,17,37.88,2.66,0,0,0.0
Mobile,Search,1,8,5.8,13.44,0,0,0.0
Mobile,Email,4,17,42.89,3.62,1,0,0.0
Desktop,Internal,6,9,33.53,3.01,0,1,145.79
Mobile,Email,3,6,32.5,3.58,1,0,0.0
Mobile,Referral,1,17,18.94,13.81,0,0,0.0
Mobile,Social Media,2,8,36.5,10.6,0,0,0.0
Mobile,Search,4,21,3.59,11.58,0,0,0.0
Mobile,Email,3,7,5.75,5.78,0,0,0.0
Mobile,Social Media,1,7,44.56,13.66,0,0,0.0
Mobile,Search,7,15,20.67,11.88,0,0,0.0
Mobile,Search,2,7,22.12,11.31,0,0,0.0
Mobile,Search,5,22,14.09,14.57,0,0,0.0
Mobile,Email,6,27,27.85,5.62,1,0,0.0
Desktop,Search,1,8,5.02,9.24,0,0,0.0
Mobile,Referral,0,9,19.42,13.67,1,0,0.0
Mobile,Social Media,2,28,32.57,11.91,0,0,0.0
Desktop,Advertisement,3,15,29.01,8.54,0,0,0.0
Mobile,Email,5,2,59.98,1.33,0,0,0.0
Desktop,Email,0,7,24.55,9.86,1,0,0.0
Mobile,Referral,0,15,24.45,7.99,0,0,0.0
Desktop,Search,3,18,31.21,2.93,0,0,0.0
Mobile,Search,4,22,13.04,13.26,0,0,0.0
Desktop,Search,3,18,52.83,5.28,0,0,0.0
Mobile,Email,4,10,35.19,5.93,0,0,0.0
Desktop,Search,3,22,13.14,10.15,0,0,0.0
Mobile,Referral,5,18,48.02,7.43,0,0,0.0
Mobile,Search,6,1,3.99,1.52,0,0,0.0
Desktop,Referral,3,7,58.99,5.93,1,0,0.0
Mobile,Search,4,3,52.18,1.6,0,1,125.78
Mobile,Shopping Site,1,14,35.62,3.02,0,0,0.0
